FieldID,t,FieldMJD,AstRA(deg),AstDec(deg),rate(deg/day),Filter,psfMag,m5,snr,trailMag,snrTrail,Filtermag
16658833,2017-02-14 09:10:18.019200,57798.382153,205.726176,-14.047123000000001,1.9673124220377403,g,24.01423533765277,24.563549267481235,9.20988565787053,23.66097109319856,13.529428225972694,23.148000000000003
16665044,2017-02-22 08:31:29.971200,57806.355208,192.434987,-9.059541000000001,1.6608756119062622,i,22.910814033742735,23.42244824491486,8.835820047243896,22.65142897205669,11.735160439023375,22.223000000000003
16665074,2017-02-22 08:51:10.972800,57806.368877,192.413901,-9.051153999999999,1.6593441568357663,i,22.965341055017678,23.489579318634497,8.959299933264132,22.677470441764346,12.26999901843314,22.223000000000003
16666640,2017-02-24 08:26:55.996800,57808.352037,189.519488,-7.85625,1.5705992185280748,i,22.950585459916894,23.768765714752096,12.350946324109877,22.672538058006086,16.641468950813127,22.226999999999997
16666685,2017-02-24 08:57:02.016000,57808.37294,189.489136,-7.843812,1.567845149377004,i,22.964874478333645,23.765978290311413,12.124544157223104,22.679345435117266,16.47284405564769,22.226999999999997
16667412,2017-02-25 08:03:04.003200,57809.335463,188.148749,-7.278491000000001,1.525978272181488,g,23.702956341550568,24.579486667946345,13.154912080712311,23.477629993670647,16.741136221796122,23.081
16668152,2017-02-26 07:28:12.000000,57810.31125,186.83141799999999,-6.716361999999999,1.4813125634409505,r,23.034092621661703,24.250333829900836,18.889115907611213,22.8209924579892,23.57170573815863,22.436
16668159,2017-02-26 07:32:45.024000,57810.31441,186.827099,-6.714558,1.4810592489357068,r,22.989686524526373,24.1717201053321,18.2216677246141,22.799139788414767,22.231828272380813,22.436
16668176,2017-02-26 07:44:01.017601,57810.32223400001,186.81641000000002,-6.710089999999999,1.4803699438197873,r,23.042344226886275,24.255868795837166,18.835304283824275,22.82502425169571,23.608151725877242,22.436
16668183,2017-02-26 07:48:33.004800,57810.325382,186.81211100000002,-6.708292,1.4800688692226451,r,23.022756937852833,24.216627704174563,18.450150755499134,22.815439691029088,22.898338461242023,22.436
16670024,2017-03-01 07:07:45.984000,57813.297060000004,183.061662,-5.074308,1.3404375663028845,r,22.9628306283009,24.216959625153436,19.654360673342442,22.79674605873638,23.35147130092106,22.458000000000002
16670057,2017-03-01 07:33:53.971201,57813.31520800001,183.03933,-5.0647,1.338692917457174,r,22.809599550426938,23.92779180452679,17.033496512170114,22.71675854736224,18.786079061191366,22.458000000000002
16674017,2017-03-06 07:03:12.960000,57818.2939,177.625406,-2.626562,1.107482261559525,g,23.43815417768241,24.395063583198908,14.342911773237464,23.374151651403896,15.359605530927599,23.151999999999997
16674071,2017-03-06 07:39:55.987200,57818.319398,177.59965,-2.615079,1.1043384236528222,g,23.327301463310835,24.046626840151152,11.093514395495507,23.30618859768556,11.35146341265527,23.151999999999997
16674705,2017-03-07 05:47:53.030400,57819.241586000004,176.714745,-2.2075,1.0670637012723279,r,22.714783730482992,23.79395673905203,16.342831256452985,22.682868861542346,16.905775343553465,22.509
16674747,2017-03-07 06:19:54.998400,57819.263831,176.693082,-2.197834,1.065544641657026,r,22.74460408126357,23.88121452905938,17.36876189786253,22.701315137651573,18.180749939707503,22.509
17218220,2019-06-13 06:17:14.985600,58647.261978999995,307.739795,-20.343532,0.15551015505426005,r,24.24983558052218,24.364423343914236,5.685100360603728,24.25560595248654,5.648516731004248,24.235
17218260,2019-06-13 06:45:22.031999,58647.28150499999,307.742761,-20.342926000000002,0.15468783193580546,r,24.24777868164465,24.3470302126561,5.588373515136716,24.253304960146593,5.553912462488147,24.234
17221217,2019-06-16 05:36:18.028800,58650.233541999994,308.237242,-20.247544,0.1436331352091153,i,23.80135733372433,23.818393859067424,5.096515092899356,23.80678164938208,5.065589944567824,23.788
17231851,2019-06-28 08:42:33.004801,58662.36288200001,309.890971,-19.938245000000002,0.08136443519130457,i,22.573704408242044,23.597906210406887,15.413632654003228,22.57628796627266,15.371189950383927,22.569000000000003
17231887,2019-06-28 09:08:18.009600,58662.380764,309.892375,-19.937799,0.08347044057629023,i,22.571799919693785,23.56198087987842,14.863355215599254,22.574424879929303,14.821664894695092,22.566999999999997
17233299,2019-07-01 05:17:05.971201,58665.220208000006,310.19203500000003,-19.887842000000003,0.060550384705631725,r,22.41619781523135,24.016893296334594,28.063831985133213,22.417000587846033,28.04113769615546,22.415
17233338,2019-07-01 05:43:58.972800,58665.238876999996,310.19313,-19.887624,0.059105152685700754,r,22.4131758577669,24.05052295067875,29.11727184497583,22.413965342980788,29.094220806549494,22.412
17233633,2019-07-03 06:34:05.001601,58667.27366900001,310.37915499999997,-19.857719,0.04470320885574099,g,22.78834401591556,24.140974451130486,21.77741056238316,22.7885963300341,21.77171733607697,22.788
17233681,2019-07-03 07:07:03.993600,58667.296574,310.380133,-19.857395999999998,0.04539239859271594,g,22.784369060349505,24.16432818321364,22.402052163017228,22.784638748348407,22.395810076593406,22.784000000000002
17239604,2019-07-11 06:55:20.006400,58675.288426,310.946522,-19.7903,0.015805572593234327,g,21.44409112683493,24.548973828095676,107.89634045988832,21.44416136355135,107.89046237206186,21.444000000000003
17239648,2019-07-11 07:27:23.961601,58675.31069400001,310.946233,-19.790101,0.015677958955170154,g,21.43912171562943,24.708628954942228,122.3480109663702,21.439214766985938,122.33945344020215,21.439
17240464,2019-07-12 05:27:13.968000,58676.227245,311.003357,-19.788204999999998,0.021566545504554037,r,20.597257735516504,24.323559622638676,170.14149137545044,20.597449396856526,170.11884302594245,20.596999999999998
